"NAME","F_CLASS","F_DESIG","LAT","LONG","ADM1","ADM2"
"Zuku Hill","T","HLL","  12.1666","   3.7000","Kebbi","Dandi"
"Zuku","P","PPL","  10.5000","   8.9166","Bauchi","Toro"
"River Zukozuko","H","STM","  10.1666","   6.2833","Niger","Rafi"
"Zui","P","PPL","   8.8333","   6.7833","Niger","Lapai"
"Zuguum","P","PPL","  11.3166","   4.3166","Kebbi","Bagudo"
"Zuguru","P","PPL","  12.4166","   4.0833","Kebbi","Bunza"
"Zuguru","P","PPL","  10.0666","   6.4333","Niger","Shiroro"
"Zugurma","P","PPL","   9.4666","   4.9666","Niger","Wushishi"
"Zuguntane","P","PPL","  11.3333","   4.5333","Kebbi","Koko/Bes"
"Zugungi","P","PPL","  10.8500","   4.0166","Niger","Borgu"
"Zugumi Peaks","T","PKS","  10.1666","  12.9500","Adamwara","Hong"
"Zugumi","P","PPL","  10.5166","  12.7333","Borno","Askira/U"
"Zugum","P","PPL","  12.7000","   8.6333","Katsina","Zango"
"Zugulibba","P","PPL","  11.8000","   4.4833","Kebbi","Maiyama"
"Zugu Hill","T","HLL","  11.7666","   4.5000","Kebbi","Maiyama"
"Zugu","P","PPL","  12.1000","   4.8500","Sokoto","Gummi"
"Zugu","P","PPL","  11.8666","   5.3333","Sokoto","Gummi"
"Zugu","P","PPL","  11.8000","   4.5500","Sokoto","Gummi"
"Zugu","P","PPL","  11.8000","   4.4833","Kebbi","Maiyama"
"Zugu","P","PPL","  11.1833","  11.8666","Yobe","Gujba"
"Zugu","P","PPL","  11.1666","  11.8666","Yobe","Gujba"
"Zugea","P","PPL","  12.1000","  10.6833","Bauchi","Gamawa"
"Zugbe","P","PPL","   8.0000","   7.2333","Plateau","Nasarawa"
"Zugai","P","PPL","  12.5500","   8.3166","Jigawa","Roni"
"Zugachi","P","PPL","  12.0666","   8.8500","Kano","Gabasawa"
"Zuga","P","PPL","  11.5166","   9.1500","Kano","Takai"
"Zuefawa","P","PPL","  10.7333","   8.0333","Kaduna","Soba"
"Zudei","P","PPL","   8.3000","  10.8000","Taraba","Bali"
"Zubuki","P","PPL","  11.8333","  10.0500","Bauchi","Itas/Gad"
"Zubokweri","P","PPL","   9.5833","   7.0833","Niger","Paikoro"
"River Zubai","H","STM","  11.7333","   8.3333","Kano","Kura"
"Zuba","P","PPL","   9.0963","   7.2127","Niger","Suleja"
"Zua","P","PPL","   7.4166","   8.7500","Benue","Gboko"
"Zua","P","PPL","   7.0666","   8.9000","Benue","Ushongo"
"Zoyita","P","PPL","  10.0166","  12.4833","Adamwara","Gombi"
"Zotori Hill","T","HLL","  12.4000","   3.8000","Kebbi","Arewa"
"Zoto","P","PPL","  12.7500","   8.5833","Jigawa","Kazaure"
"Zoto","P","PPL","  11.6666","  11.3666","Yobe","Fune"
"Zorori","H","STM","  12.3333","   6.7500","Sokoto","Kaura-Na"
"Zoro","P","PPL","  11.6666","  11.3666","Yobe","Fune"
"Zoro","P","PPL","  10.9500","  10.4500","Bauchi","Darazo"
"Zore","P","PPL","   7.7333","  11.3333","Taraba","Gashaka"
"Zora","P","PPL","  10.9166","  10.0000","Bauchi","Gamjuwa"
"Zor","P","PPL","   7.1166","   8.6833","Benue","Konshish"
"Zonkwha Hill","T","MT","   9.8500","   8.7166","Plateau","Bassa"
"Zonkwa","P","PPL","   9.7833","   8.2833","Kaduna","ZangonKa"
"Zoni","P","PPL","  11.4500","  11.0666","Yobe","Fika"
"Zongon Konbi Jauro Shuaibu","P","PPL","   8.8000","  11.0500","Taraba","Jalingo"
"Zongon Daji","P","PPL","   7.8166","   6.6500","Kogi","Adavi"
"Zongo Mata","P","PPL","   7.0333","  10.9500","Taraba","Sardauna"
"Zongo Mari","P","PPL","  10.3666","  10.8666","Bauchi","Akko"
"Zongoma Kyari","P","PPL","  10.4666","  11.2833","Bauchi","Gombe"
"Zongo Biriji","T","MT","   8.6666","  11.2166","Taraba","Jalingo"
"Zongoagia","P","PPL","   6.9833","  11.0166","Taraba","Sardauna"
"Zongo","P","PPL","  11.3833","   8.6333","Kano","Rano"
"Zongo","P","PPL","   9.1333","   8.6166","Kaduna","Jema'a"
"Zongo","P","PPL","   8.2166","   9.4166","Taraba","Ibi"
"Zongo","P","PPL","   6.8833","   9.7500","Taraba","Takum"
"Zonge","P","PPL","  10.2833","  11.7666","Borno","Biu"
"Zongbi","P","PPL","   7.8000","  12.0666","Adamwara","Ganye"
"Zondo","P","PPL","  11.5666","   4.1833","Kebbi","Bagudo"
"Zona","P","PPL","  10.4000","  11.8833","Borno","Biu"
"Zomo","P","PPL","  10.7833","   8.9166","Bauchi","Toro"
"Zombulo","L","LCTY","  10.4333","  13.3333","Adamwara","Mubi"
"Zoman","P","PPL","   7.0666","   8.9000","Benue","Ushongo"
"Zoma","P","PPL","  12.7000","   8.3666","Jigawa","Roni"
"Zoma","P","PPL","  10.5833","   5.3000","Niger","Magama"
"Zoloki","P","PPL","  10.1333","   8.9666","Plateau","Bassa"
"Zolo","P","PPL","  12.9166","  10.6000","Yobe","Nguru"
"River Zole","H","STM","   9.2000","   6.6166","Niger","Lapai"
"Zole","P","PPL","   9.1666","   6.6166","Niger","Lapai"
"Zol","P","PPL","   9.8333","   9.4666","Bauchi","Tafawa-B"
"Zokwogi","P","PPL","   9.6000","   6.2166","Niger","Wushishi"
"Zokwa","P","PPL","  11.8500","   4.1000","Kebbi","Suru"
"Zokunbara","P","PPL","  10.5833","   4.1500","Niger","Borgu"
"Zokoja","P","PPL","   7.8000","   6.7333","Kogi","Kotonkar"
"Zokinbori","P","PPL","  12.2666","   7.6500","Katsina","Musawa"
"Zokaram","P","PPL","  11.8000","   9.9500","Bauchi","Itas/Gad"
"Zoka","P","PPL","   7.1500","   8.6333","Benue","Konshish"
"Zok","P","PPL","   9.2833","  10.3500","Plateau","Wase"
"Zogonji","P","PPL","  10.7833","   3.9333","Niger","Borgu"
