"NAME","F_CLASS","F_DESIG","LAT","LONG","ADM1","ADM2"
"Zange","P","PPL","  10.2500","  11.7833","Borno","Biu"
"Zange","P","PPL","  10.0500","  11.1666","Bauchi","Akko"
"Zangaya","P","PPL","  11.2833","  11.4333","Yobe","Fika"
"Zangan Kogo","P","PPL","   9.4000","   8.3000","Kaduna","Jema'a"
"Zangan Aya","P","PPL","  10.9166","   7.6666","Kaduna","Igabi"
"Zangan Azumi","P","PPL","  10.7833","   6.8500","Kaduna","Chikun"
"Zangala","P","PPL","  10.7166","  10.7833","Bauchi","Dukku"
"Zang","P","PPL","   8.9000","  11.7000","Taraba","Zing"
"River Zandupan","H","STM","   7.0333","  10.1500","",""
"Zandi","P","PPL","   9.6000","  12.3666","Adamwara","Song"
"Zandi","P","PPL","   9.0000","  11.7166","Taraba","Zing"
"Zandan Nagogo","P","PPL","  11.3166","   9.8500","Jigawa","Gwaram"
"Zandan","P","PPL","  11.3333","   9.9000","Jigawa","Gwaram"
"Zandama Hills","T","HLLS","  11.3166","   9.7333","Jigawa","Gwaram"
"River Zandam","H","STM","  13.0000","   7.2500","Katsina","Batsari"
"Gulbi Zandam","H","STM","  13.0000","   7.2500","Katsina","Batsari"
"Zandam","P","PPL","  13.0333","   7.2500","Katsina","Jibia"
"Zandam","P","PPL","  11.3000","  10.6000","Bauchi","Darazo"
"River Zanaka","H","STM","   7.0000","  10.2333","Taraba","Sardauna"
"Zanaka","P","PPL","   7.0166","  10.1833","Taraba","Takum"
"Zampa","P","PPL","   8.8166","  11.5166","Taraba","Yorro"
"Zamkwa","P","PPL","  10.4666","  12.2666","Borno","Shani"
"Zamko","P","PPL","   9.0000","   9.8500","Plateau","Langtang"
"River Zamin","H","STM","   7.5833","  11.0000","Taraba","Gashaka"
"Zamfur","P","PPL","  10.2000","   8.3666","Kaduna","Kauru"
"Zamfaru","P","PPL","  10.2000","   8.3666","Kaduna","Kauru"
"Zamfarawa","P","PPL","  11.8166","   7.8500","Katsina","Malumfas"
"Zamfarawa","P","PPL","  10.2333","  11.3166","Bauchi","Yamaltu/"
"River Zamfara","H","STM","  12.0333","   4.0500","Kebbi","Bunza"
"Gulbi Zamfara","H","STM","  12.0333","   4.0500","Kebbi","Bunza"
"Zamerum","P","PPL","   9.1000","   9.8333","Plateau","Langtang"
"Zambur","P","PPL","   9.2166","   8.4666","Kaduna","Jema'a"
"River Zambuka","H","STM","   7.0500","  10.1666","Taraba","Takum"
"Zambuka","P","PPL","   7.0333","  10.2000","Taraba","Takum"
"Zambuk","H","STM","  10.3500","  11.3666","Bauchi","Yamaltu/"
"Zambuk","P","PPL","  10.3166","  11.3500","Bauchi","Yamaltu/"
"River Zambugga","H","STM","  10.1000","   5.7833","Niger","Wushishi"
"Zambugga","P","PPL","  10.2833","   6.1666","Niger","Rafi"
"Zambufu","P","PPL","   8.8000","   5.1666","Kwara","Edu"
"Zambu","P","PPL","  10.0333","  10.4166","Bauchi","Alkaleri"
"Zambeinawa","T","HLL","  12.1666","   8.5500","Kano","Minjibir"
"Zambana","H","STM","   7.5000","  10.2000","Taraba","Donga"
"Zambana","P","PPL","   7.5166","  10.2166","Taraba","Donga"
"River Zamba","H","STM","  10.3500","  12.3666","Borno","Shani"
"Zamba","P","PPL","  11.3833","  11.3500","Yobe","Fune"
"Zamba","P","PPL","  10.3166","  12.4666","Borno","Shani"
